"Saint John and County | Saint John et le comté; CMML : 'TRANSMIT.FPHX14.01.05.0255Z.AMD.xml'; Time zone | Fuseau horaire : Canada/Atlantic","Start | Début;End | Fin;Probability of precipitation (%) | Probabilité de précipitation (%)",""
2020-01-05T02:00:00Z,2020-01-05T09:00:00Z, 60
2020-01-05T09:00:00Z,2020-01-05T20:00:00Z,100
2020-01-05T20:00:00Z,2020-01-06T10:00:00Z,  0
