"Kent County | comté de Kent; CMML : 'TRANSMIT.FPHX14.01.05.0255Z.AMD.xml'; Time zone | Fuseau horaire : Canada/Atlantic","Start | Début;End | Fin;Total accumulation min (mm) | Accumulation totale min (mm);Total accumulation max (mm | Accumulation totale max (mm);Hourly accumulation min (mm) | Accumulation horaire min (mm);Hourly accumulation max (mm) | Accumulation horaire max (mm);Precipitation type | Type de précipitation","","","","",""
2020-01-05T02:00:00Z,2020-01-05T13:00:00Z,0.00,0.00,0.00,0.00,N/A
2020-01-05T13:00:00Z,2020-01-05T14:00:00Z,16.67,16.67,16.67,16.67,snow
2020-01-05T14:00:00Z,2020-01-05T15:00:00Z,33.33,33.33,16.67,16.67,snow
2020-01-05T15:00:00Z,2020-01-05T16:00:00Z,50.00,50.00,16.67,16.67,snow
2020-01-05T16:00:00Z,2020-01-06T10:00:00Z,50.00,50.00,0.00,0.00,N/A
