"Bathurst and Chaleur Region | Bathurst et la région Chaleur; CMML : 'TRANSMIT.FPHX14.01.05.0255Z.AMD.xml'; Time zone | Fuseau horaire : Canada/Atlantic","Start | Début;End | Fin;Probability of precipitation (%) | Probabilité de précipitation (%)",""
2020-01-05T02:00:00Z,2020-01-05T06:00:00Z,  0
2020-01-05T06:00:00Z,2020-01-05T10:00:00Z, 30
2020-01-05T10:00:00Z,2020-01-05T22:00:00Z, 80
2020-01-05T22:00:00Z,2020-01-06T10:00:00Z,  0
