"Grand Manan and Coastal Charlotte County | Grand Manan et le littoral du comté de Charlotte; CMML : 'TRANSMIT.FPHX14.01.05.0255Z.AMD.xml'; Time zone | Fuseau horaire : Canada/Atlantic","Start | Début;End | Fin;Total accumulation min (mm) | Accumulation totale min (mm);Total accumulation max (mm | Accumulation totale max (mm);Hourly accumulation min (mm) | Accumulation horaire min (mm);Hourly accumulation max (mm) | Accumulation horaire max (mm);Precipitation type | Type de précipitation","","","","",""
2020-01-05T02:00:00Z,2020-01-05T14:00:00Z,0.00,0.00,0.00,0.00,N/A
2020-01-05T14:00:00Z,2020-01-05T15:00:00Z,6.67,13.33,6.67,13.33,snow
2020-01-05T15:00:00Z,2020-01-05T16:00:00Z,13.33,26.67,6.67,13.33,snow
2020-01-05T16:00:00Z,2020-01-05T17:00:00Z,20.00,40.00,6.67,13.33,snow
2020-01-05T17:00:00Z,2020-01-06T10:00:00Z,20.00,40.00,0.00,0.00,N/A
